pok_id,pok_num,pok_nom,poke_imag,pok_tipo,,pok_altura,pok_peso
1,1,Bulbasaur,http://www.serebii.net/pokemongo/pokemon/001.png,Grass,,0.71 m,6.9 kg
2,2,Ivysaur,http://www.serebii.net/pokemongo/pokemon/002.png,Grass,,0.99 m,13.0 kg
3,3,Venusaur,http://www.serebii.net/pokemongo/pokemon/003.png,Grass,,2.01 m,100.0 kg
4,4,Charmander,http://www.serebii.net/pokemongo/pokemon/004.png,Fire,,0.61 m,8.5 kg
5,5,Charmeleon,http://www.serebii.net/pokemongo/pokemon/005.png,Fire,,1.09 m,19.0 kg
6,6,Charizard,http://www.serebii.net/pokemongo/pokemon/006.png,Fire,,1.70 m,90.5 kg
7,7,Squirtle,http://www.serebii.net/pokemongo/pokemon/007.png,Water,,0.51 m,9.0 kg
8,8,Wartortle,http://www.serebii.net/pokemongo/pokemon/008.png,Water,,0.99 m,22.5 kg
9,9,Blastoise,http://www.serebii.net/pokemongo/pokemon/009.png,Water,,1.60 m,85.5 kg
10,10,Caterpie,http://www.serebii.net/pokemongo/pokemon/010.png,Bug,,0.30 m,2.9 kg
11,11,Metapod,http://www.serebii.net/pokemongo/pokemon/011.png,Bug,,0.71 m,9.9 kg
12,12,Butterfree,http://www.serebii.net/pokemongo/pokemon/012.png,Bug,,1.09 m,32.0 kg
13,13,Weedle,http://www.serebii.net/pokemongo/pokemon/013.png,Bug,,0.30 m,3.2 kg
14,14,Kakuna,http://www.serebii.net/pokemongo/pokemon/014.png,Bug,,0.61 m,10.0 kg
15,15,Beedrill,http://www.serebii.net/pokemongo/pokemon/015.png,Bug,,0.99 m,29.5 kg
16,16,Pidgey,http://www.serebii.net/pokemongo/pokemon/016.png,Normal,,0.30 m,1.8 kg
17,17,Pidgeotto,http://www.serebii.net/pokemongo/pokemon/017.png,Normal,,1.09 m,30.0 kg
18,18,Pidgeot,http://www.serebii.net/pokemongo/pokemon/018.png,Normal,,1.50 m,39.5 kg
19,19,Rattata,http://www.serebii.net/pokemongo/pokemon/019.png,Normal,,0.30 m,3.5 kg
20,20,Raticate,http://www.serebii.net/pokemongo/pokemon/020.png,Normal,,0.71 m,18.5 kg
21,21,Spearow,http://www.serebii.net/pokemongo/pokemon/021.png,Normal,,0.30 m,2.0 kg
22,22,Fearow,http://www.serebii.net/pokemongo/pokemon/022.png,Normal,,1.19 m,38.0 kg
23,23,Ekans,http://www.serebii.net/pokemongo/pokemon/023.png,Poison,,2.01 m,6.9 kg
24,24,Arbok,http://www.serebii.net/pokemongo/pokemon/024.png,Poison,,3.51 m,65.0 kg
25,25,Pikachu,http://www.serebii.net/pokemongo/pokemon/025.png,Electric,,0.41 m,6.0 kg
26,26,Raichu,http://www.serebii.net/pokemongo/pokemon/026.png,Electric,,0.79 m,30.0 kg
27,27,Sandshrew,http://www.serebii.net/pokemongo/pokemon/027.png,Ground,,0.61 m,12.0 kg
28,28,Sandslash,http://www.serebii.net/pokemongo/pokemon/028.png,Ground,,0.99 m,29.5 kg
29,29,Nidoran ♀ (Female),http://www.serebii.net/pokemongo/pokemon/029.png,Poison,,0.41 m,7.0 kg
30,30,Nidorina,http://www.serebii.net/pokemongo/pokemon/030.png,Poison,,0.79 m,20.0 kg
31,31,Nidoqueen,http://www.serebii.net/pokemongo/pokemon/031.png,Poison,,1.30 m,60.0 kg
32,32,Nidoran ♂ (Male),http://www.serebii.net/pokemongo/pokemon/032.png,Poison,,0.51 m,9.0 kg
33,33,Nidorino,http://www.serebii.net/pokemongo/pokemon/033.png,Poison,,0.89 m,19.5 kg
34,34,Nidoking,http://www.serebii.net/pokemongo/pokemon/034.png,Poison,,1.40 m,62.0 kg
35,35,Clefairy,http://www.serebii.net/pokemongo/pokemon/035.png,Normal,,0.61 m,7.5 kg
36,36,Clefable,http://www.serebii.net/pokemongo/pokemon/036.png,Normal,,1.30 m,40.0 kg
37,37,Vulpix,http://www.serebii.net/pokemongo/pokemon/037.png,Fire,,0.61 m,9.9 kg
38,38,Ninetales,http://www.serebii.net/pokemongo/pokemon/038.png,Fire,,1.09 m,19.9 kg
39,39,Jigglypuff,http://www.serebii.net/pokemongo/pokemon/039.png,Normal,,0.51 m,5.5 kg
40,40,Wigglytuff,http://www.serebii.net/pokemongo/pokemon/040.png,Normal,,0.99 m,12.0 kg
41,41,Zubat,http://www.serebii.net/pokemongo/pokemon/041.png,Poison,,0.79 m,7.5 kg
42,42,Golbat,http://www.serebii.net/pokemongo/pokemon/042.png,Poison,,1.60 m,55.0 kg
43,43,Oddish,http://www.serebii.net/pokemongo/pokemon/043.png,Grass,,0.51 m,5.4 kg
44,44,Gloom,http://www.serebii.net/pokemongo/pokemon/044.png,Grass,,0.79 m,8.6 kg
45,45,Vileplume,http://www.serebii.net/pokemongo/pokemon/045.png,Grass,,1.19 m,18.6 kg
46,46,Paras,http://www.serebii.net/pokemongo/pokemon/046.png,Bug,,0.30 m,5.4 kg
47,47,Parasect,http://www.serebii.net/pokemongo/pokemon/047.png,Bug,,0.99 m,29.5 kg
48,48,Venonat,http://www.serebii.net/pokemongo/pokemon/048.png,Bug,,0.99 m,30.0 kg
49,49,Venomoth,http://www.serebii.net/pokemongo/pokemon/049.png,Bug,,1.50 m,12.5 kg
50,50,Diglett,http://www.serebii.net/pokemongo/pokemon/050.png,Ground,,0.20 m,0.8 kg
51,51,Dugtrio,http://www.serebii.net/pokemongo/pokemon/051.png,Ground,,0.71 m,33.3 kg
52,52,Meowth,http://www.serebii.net/pokemongo/pokemon/052.png,Normal,,0.41 m,4.2 kg
53,53,Persian,http://www.serebii.net/pokemongo/pokemon/053.png,Normal,,0.99 m,32.0 kg
54,54,Psyduck,http://www.serebii.net/pokemongo/pokemon/054.png,Water,,0.79 m,19.6 kg
55,55,Golduck,http://www.serebii.net/pokemongo/pokemon/055.png,Water,,1.70 m,76.6 kg
56,56,Mankey,http://www.serebii.net/pokemongo/pokemon/056.png,Fighting,,0.51 m,28.0 kg
57,57,Primeape,http://www.serebii.net/pokemongo/pokemon/057.png,Fighting,,0.99 m,32.0 kg
58,58,Growlithe,http://www.serebii.net/pokemongo/pokemon/058.png,Fire,,0.71 m,19.0 kg
59,59,Arcanine,http://www.serebii.net/pokemongo/pokemon/059.png,Fire,,1.91 m,155.0 kg
60,60,Poliwag,http://www.serebii.net/pokemongo/pokemon/060.png,Water,,0.61 m,12.4 kg
61,61,Poliwhirl,http://www.serebii.net/pokemongo/pokemon/061.png,Water,,0.99 m,20.0 kg
62,62,Poliwrath,http://www.serebii.net/pokemongo/pokemon/062.png,Water,,1.30 m,54.0 kg
63,63,Abra,http://www.serebii.net/pokemongo/pokemon/063.png,Psychic,,0.89 m,19.5 kg
64,64,Kadabra,http://www.serebii.net/pokemongo/pokemon/064.png,Psychic,,1.30 m,56.5 kg
65,65,Alakazam,http://www.serebii.net/pokemongo/pokemon/065.png,Psychic,,1.50 m,48.0 kg
66,66,Machop,http://www.serebii.net/pokemongo/pokemon/066.png,Fighting,,0.79 m,19.5 kg
67,67,Machoke,http://www.serebii.net/pokemongo/pokemon/067.png,Fighting,,1.50 m,70.5 kg
68,68,Machamp,http://www.serebii.net/pokemongo/pokemon/068.png,Fighting,,1.60 m,130.0 kg
69,69,Bellsprout,http://www.serebii.net/pokemongo/pokemon/069.png,Grass,,0.71 m,4.0 kg
70,70,Weepinbell,http://www.serebii.net/pokemongo/pokemon/070.png,Grass,,0.99 m,6.4 kg
71,71,Victreebel,http://www.serebii.net/pokemongo/pokemon/071.png,Grass,,1.70 m,15.5 kg
72,72,Tentacool,http://www.serebii.net/pokemongo/pokemon/072.png,Water,,0.89 m,45.5 kg
73,73,Tentacruel,http://www.serebii.net/pokemongo/pokemon/073.png,Water,,1.60 m,55.0 kg
74,74,Geodude,http://www.serebii.net/pokemongo/pokemon/074.png,Rock,,0.41 m,20.0 kg
75,75,Graveler,http://www.serebii.net/pokemongo/pokemon/075.png,Rock,,0.99 m,105.0 kg
76,76,Golem,http://www.serebii.net/pokemongo/pokemon/076.png,Rock,,1.40 m,300.0 kg
